facts,node_amount,max_depth
3366,2,2
3424,2,2
3546,2,2
3438,2,2
3470,2,2
3564,2,2
3520,2,2
3424,2,2
2092,2,2
3518,2,2
3456,3,3
1704,2,2
3486,2,2
3418,2,2
3466,2,2
3546,2,2
1740,2,2
3466,3,3
3538,2,2
3614,2,2
3492,2,2
3514,2,2
3438,2,2
3472,3,3
3472,2,2
3436,2,2
3612,2,2
3570,3,3
3462,2,2
3336,2,2
3602,3,3
3502,2,2
3512,2,2
3488,2,2
1789,2,2
1732,2,2
3458,2,2
1785,2,2
3504,2,2
3472,2,2
3634,2,2
3336,2,2
3374,2,2
3616,2,2
3540,2,2
1761,2,2
3620,2,2
3516,2,2
3484,2,2
3350,3,3
3562,2,2
3514,2,2
3538,3,3
3422,2,2
1783,2,2
3404,2,2
3566,2,2
3480,2,2
3466,2,2
3456,2,2
3526,2,2
3648,2,2
3476,2,2
3564,2,2
3518,2,2
3414,2,2
3434,2,2
3466,2,2
3496,3,3
3476,2,2
3480,2,2
3426,2,2
3394,2,2
3480,3,3
3408,3,3
3416,2,2
3560,2,2
3456,2,2
3560,2,2
3526,2,2
3538,2,2
3372,2,2
3392,3,3
3524,2,2
3644,2,2
3526,3,3
3410,2,2
3316,2,2
3342,2,2
3544,2,2
3442,2,2
3442,3,3
3504,2,2
1728,2,2
3442,2,2
3552,2,2
3466,2,2
3594,3,3
3598,2,2
3592,2,2
3392,2,2
3462,3,3
1754,2,2
1791,2,2
3656,2,2
3386,2,2
1733,2,2
3530,2,2
3460,2,2
3660,2,2
3488,2,2
3458,2,2
1697,2,2
3474,2,2
3368,2,2
3536,2,2
1728,2,2
3522,2,2
3450,2,2
3578,3,3
3374,2,2
1824,2,2
3412,2,2
3504,2,2
3466,2,2
3310,3,3
3462,2,2
3522,2,2
3420,2,2
3468,2,2
3448,3,3
3448,2,2
3480,2,2
3426,2,2
3308,2,2
3512,2,2
1800,2,2
3600,2,2
3330,2,2
3536,3,3
3520,3,3
3494,2,2
3496,3,3
3522,2,2
3318,2,2
3574,2,2
3588,2,2
3590,2,2
3408,2,2
3342,2,2
3448,2,2
3510,2,2
3454,3,3
3330,2,2
3408,2,2
3552,2,2
3408,2,2
3416,2,2
3566,3,3
3384,2,2
3390,2,2
3418,3,3
3570,2,2
3448,2,2
3442,2,2
3510,2,2
1702,2,2
3474,2,2
3564,2,2
3418,2,2
3464,2,2
3612,2,2
3518,2,2
3480,2,2
3530,2,2
3520,2,2
3450,2,2
3562,2,2
3540,2,2
3352,2,2
3396,2,2
3386,3,3
3306,2,2
3498,2,2
3416,2,2
3450,2,2
3474,2,2
3298,2,2
3446,3,3
3462,2,2
3460,2,2
3570,3,3
3452,2,2
3474,2,2
3512,2,2
3550,2,2
3386,2,2
3472,2,2
3526,2,2
3566,2,2
3450,2,2
3572,2,2
3574,2,2
3476,2,2
3492,2,2
3440,2,2
3448,2,2
3546,2,2
2066,2,2
3294,2,2
3474,2,2
3520,2,2
3318,2,2
3504,2,2
1736,2,2
3434,2,2
3388,2,2
3542,2,2
3496,2,2
3426,3,3
3434,2,2
3516,2,2
3550,2,2
3558,2,2
3398,2,2
3542,2,2
3558,2,2
3474,3,3
3596,2,2
3556,2,2
3476,2,2
3448,3,3
3436,2,2
3440,2,2
3446,2,2
3456,3,3
3534,2,2
3618,2,2
3472,2,2
3406,2,2
3536,2,2
3434,2,2
3412,2,2
3372,2,2
3502,2,2
3516,2,2
3564,2,2
3438,2,2
3468,2,2
3408,2,2
3376,2,2
3590,2,2
3412,2,2
3410,2,2
3368,2,2
3422,2,2
1709,2,2
3430,2,2
1801,2,2
3448,2,2
1721,2,2
1690,2,2
3494,2,2
3388,2,2
3372,2,2
3448,2,2
3484,2,2
3432,2,2
3438,2,2
3648,3,3
3448,2,2
1685,2,2
3536,2,2
3506,2,2
3388,2,2
3506,2,2
3418,2,2
3318,2,2
3602,2,2
3482,2,2
3492,2,2
3366,2,2
3464,3,3
3370,2,2
3406,2,2
3500,2,2
3490,2,2
3494,2,2
3342,2,2
3514,2,2
3468,2,2
3454,2,2
3620,2,2
3466,2,2
3632,2,2
1754,2,2
3470,2,2
1723,2,2
3496,3,3
3490,2,2
3494,2,2
3430,2,2
3376,3,3
3320,2,2
3458,2,2
1732,2,2
3460,2,2
3568,3,3
3510,2,2
3350,2,2
3364,2,2
3448,2,2
3436,2,2
3592,2,2
1742,2,2
1749,2,2
3498,2,2
3404,3,3
3354,2,2
3502,2,2
3516,2,2
3586,2,2
3584,2,2
3412,2,2
3448,2,2
1693,2,2
3454,2,2
3486,2,2
3512,2,2
3482,2,2
3546,2,2
3568,2,2
3500,2,2
3400,2,2
3509,2,2
3354,2,2
3408,2,2
3526,2,2
3414,2,2
3382,2,2
3454,2,2
3640,2,2
3552,2,2
3490,2,2
3518,2,2
3438,2,2
3302,2,2
3378,2,2
3364,2,2
3584,2,2
2000,2,2
3404,2,2
3564,2,2
3586,2,2
3410,2,2
3442,2,2
3444,2,2
3402,2,2
3516,2,2
3414,2,2
1760,2,2
3522,2,2
3402,2,2
3420,2,2
3412,2,2
3448,2,2
3340,2,2
3384,3,3
3412,2,2
3470,2,2
3474,2,2
3434,2,2
3424,2,2
3370,2,2
3534,2,2
3460,2,2
3464,3,3
3506,2,2
3238,2,2
3598,2,2
3524,2,2
3452,2,2
3468,2,2
3412,2,2
3456,3,3
3420,3,3
3514,2,2
3506,3,3
3536,2,2
3488,2,2
3592,2,2
3496,2,2
3272,2,2
3390,2,2
3484,2,2
3440,2,2
3538,2,2
3508,2,2
3368,2,2
3510,2,2
3426,2,2
1776,2,2
3440,2,2
3504,2,2
3514,2,2
3536,2,2
3346,2,2
3408,2,2
3478,2,2
3348,2,2
3426,2,2
3408,2,2
3488,2,2
3582,2,2
3364,2,2
3580,2,2
3420,2,2
3386,2,2
3390,3,3
3568,3,3
3394,2,2
1753,2,2
3556,2,2
1797,2,2
3508,2,2
3400,2,2
3432,2,2
3582,2,2
3426,2,2
3450,2,2
3384,2,2
3480,2,2
3486,2,2
3496,2,2
1755,2,2
3494,2,2
3456,2,2
3536,2,2
1763,2,2
3642,2,2
3508,3,3
3372,2,2
3498,2,2
3580,2,2
3516,2,2
3404,2,2
3600,2,2
3362,2,2
3578,2,2
3396,2,2
1748,2,2
3522,2,2
3304,2,2
3382,2,2
3552,2,2
1701,2,2
1702,2,2
3564,2,2
3348,2,2
3502,2,2
3482,2,2
3596,2,2
3442,2,2
3442,2,2
3406,2,2
3386,2,2
3492,2,2
3570,2,2
3450,2,2
3408,2,2
3508,3,3
3566,2,2
3412,2,2
3494,2,2
3398,2,2
3612,2,2
3358,2,2
3538,2,2
3416,2,2
3560,2,2
3462,2,2
3456,2,2
3340,2,2
3484,2,2
3394,2,2
3454,2,2
3496,2,2
3532,2,2
3520,2,2
3426,2,2
3544,2,2
3516,2,2
3364,2,2
3604,2,2
3510,2,2
3442,2,2
3510,3,3
3444,2,2
3442,2,2
1733,2,2
1713,2,2
3432,2,2
3456,2,2
3468,2,2
3582,3,3
3488,2,2
1692,2,2
3464,2,2
3404,3,3
1768,2,2
3538,2,2
3492,2,2
3630,2,2
3320,2,2
3482,2,2
3464,2,2
3442,2,2
1748,2,2
3626,2,2
3544,2,2
3414,2,2
3574,2,2
3380,2,2
3402,2,2
3350,2,2
1784,2,2
3526,2,2
3534,2,2
3458,2,2
3502,2,2
3478,2,2
3552,3,3
3470,2,2
3458,2,2
1738,2,2
3516,2,2
1731,2,2
3496,2,2
3468,2,2
